lab_id,lab_name,is_pqi_default,panel_kind,is_standard,assay_id,analyte,method_label,method_codes,directory_fields,usp_chapter_label,seed_observation,seed_lab_rows,seed_notes,null_when,notes,source_urls,public_verification_available,verification_url,geography,explicit_exclusions,source_refresh_confidence
janoshik,Janoshik Analytical,True,standard,True,janoshik_hplc_identity_amount_purity,identity_amount_purity,HPLC,hplc,methods_present|analytes_present|purity_pct|strength_mg|peptide_identity,,seen_on_seed,97,Dominant on Panda+Prime; 15/97 Janoshik rows had empty methods_present; identity analyte tag sparse vs HPLC method tag.,Card/PDF does not state purity and/or amount; blends may omit peptide purity (e.g. GLOW SKU purity-not-included); portal match alone does not fill purity_pct (PNG not OCR'd).,Typical peptide SKU (e.g. BPC-157): Testing method HPLC; result format mg/vial + peptide purity. Blind GLP-1 SKU same HPLC base for ID/amount/purity among Sema/Tirz/Reta.,https://janoshik.com/pricelist/bpc-157-analysis/|https://janoshik.com/pricelist/common-glp-1-peptide-blind-test-semaglutide-tirzepatide-and-retatrutide/,True,https://janoshik.com/verification/,EU,,high
janoshik,Janoshik Analytical,True,standard,True,janoshik_hplc_purity,purity,HPLC,hplc,purity_pct|methods_present|analytes_present,,seen_on_seed,97,purity analyte on 48/97 Janoshik rows; purity_pct still null on many portal-verified rows when hub omitted numeric %.,Purity not numeric on sources used; marketing 99%+ ignored; blend purity-not-included SKUs; portal PNG-only.,Peptide purity via HPLC on standard peptide SKUs. Optional m/m purity format for raw API powders (alternative results format).,https://janoshik.com/pricelist/bpc-157-analysis/,True,https://janoshik.com/verification/,EU,,high
janoshik,Janoshik Analytical,True,standard,True,janoshik_hplc_quantity,quantity,HPLC,hplc,strength_mg|analytes_present|methods_present,,seen_on_seed,97,amount analyte tag uncommon on hub cards even when HPLC present.,Amount not stated on card/PDF.,mg/vial common for lyophilizate; HPLC is base quantity method on most peptide SKUs.,https://janoshik.com/pricelist/bpc-157-analysis/,True,https://janoshik.com/verification/,EU,,high
janoshik,Janoshik Analytical,True,add_on,False,janoshik_ms_identity_sku_specific,identity,LCMS,lcms|ms,methods_present|analytes_present|peptide_identity,,seen_on_seed,97,"MS method tag on 33/97 rows but identity analyte only 4 — hub often tags MS without identity analyte string. Catalog: LCMS is explicit on some SKUs (e.g. AOD-9604 LCMS+CHNS), not automatic base.",SKU is HPLC-only (most peptide SKUs); MS/LCMS not stated on card.,"Not always on base peptide SKU. Example AOD-9604 LCMS+CHNS SKU: identification=LCMS, amount=CHNS, peptide purity=HPLC.",https://janoshik.com/pricelist/rhgh-fragment-or-aod-9604-lcmschns-analysis/,True,https://janoshik.com/verification/,EU,,high
janoshik,Janoshik Analytical,True,add_on,False,janoshik_chns_amount,quantity,CHNS,chns,strength_mg|methods_present|analytes_present,,catalog_only,97,CHNS not observed in Phase 1 seed methods_present tags.,CHNS not ordered / not stated on report.,Standalone CHNS mass report and/or add-on; framed as NPC (net peptide content) via N/S. Also amount method on AOD-9604 LCMS+CHNS SKU.,https://janoshik.com/pricelist/chns-mass-report-standalone-test/|https://janoshik.com/pricelist/rhgh-fragment-or-aod-9604-lcmschns-analysis/,True,https://janoshik.com/verification/,EU,,high
janoshik,Janoshik Analytical,True,add_on,False,janoshik_lal_endotoxin,endotoxin,LAL,lal,endotoxin|analytes_present|methods_present,,seen_on_seed,97,Endotoxin often stated on Panda/Prime Janoshik cards (~41 analyte tags; ~42 non-null endotoxin field). Still an add-on in catalog — presence on vendor card ≠ automatic base panel.,"Add-on not ordered or not stated on card/PDF. Not offered on oils, raw API powders, tablets, capsules.",Finished products; standard LAL accurate up to ~10 EU/vial (above = estimate unless retested). Results EU/vial (lyophilizate) or EU/ml (solution).,https://janoshik.com/pricelist/endotoxin-analysis-separate-vial-preferred-measurement-up-to-10-eu-vial/,True,https://janoshik.com/verification/,EU,,high
janoshik,Janoshik Analytical,True,add_on,False,janoshik_tamc_tymc_sterility,sterility,TAMC+TYMC,tamc|tymc,sterility_status|analytes_present|methods_present,,catalog_only,97,No Janoshik seed row had sterility_status=tested. Sole Phase 1 'tested' row was non-default lab (Prime Wolverine Blend / microbial_pcr).,Not ordered / not stated → sterility_status unknown or not_tested; never invent tested/pass.,Cultivation bioburden-style screen (TAMC+TYMC). Needs extra unopened units. Not USP <71> language on Janoshik portal. ~14d turnaround framing in prior catalog; confirm on live SKU if citing timing.,https://janoshik.com/pricelist/sterility-testing-tamctymc/,True,https://janoshik.com/verification/,EU,,high
janoshik,Janoshik Analytical,True,add_on,False,janoshik_heavy_metals,heavy_metals,"Heavy metals screening (As, Cd, Pb, Hg)",heavy_metals,analytes_present|methods_present,,seen_on_seed,97,Essentially absent on seed cards (1/97).,Not stated; no dedicated heavy_metals scalar field in directory schema — only analytes_present tag.,As/Cd/Pb/Hg screen as harm-reduction add-on.,https://janoshik.com/pricelist/heavy-metals-screening-as-cd-pb-hg/,True,https://janoshik.com/verification/,EU,,high
janoshik,Janoshik Analytical,True,add_on,False,janoshik_tfa,tfa,TFA analysis,tfa,analytes_present,,catalog_only,97,Not observed on seed analyte tags.,Not stated; no dedicated tfa field in directory schema.,Add-on on peptide SKUs (e.g. GLP-1 blind); results mg/vial framing on portal.,https://janoshik.com/pricelist/common-glp-1-peptide-blind-test-semaglutide-tirzepatide-and-retatrutide/,True,https://janoshik.com/verification/,EU,,high
janoshik,Janoshik Analytical,True,add_on,False,janoshik_ph,ph,pH Measurement,ph,analytes_present,,catalog_only,97,Not observed on seed analyte tags.,Not stated; no dedicated ph field in directory schema.,Optional add-on on peptide SKUs.,https://janoshik.com/pricelist/common-glp-1-peptide-blind-test-semaglutide-tirzepatide-and-retatrutide/,True,https://janoshik.com/verification/,EU,,high
janoshik,Janoshik Analytical,True,add_on,False,janoshik_contamination_screen,contamination_screen,LCMS/GCMS screening,lcms|gcms,methods_present|analytes_present,,catalog_only,97,GCMS/LCMS contamination not tagged on seed methods beyond generic MS.,Not stated on report/card.,Harm-reduction catalog: GCMS/LCMS screening for contamination; LCMS peptide-contamination screen limited to peptides on Janoshik price list.,https://janoshik.com/services/|https://janoshik.com/pricelist/common-glp-1-peptide-blind-test-semaglutide-tirzepatide-and-retatrutide/,True,https://janoshik.com/verification/,EU,,high
janoshik,Janoshik Analytical,True,add_on,False,janoshik_variance_testing,variance_testing,Variance Testing,variance,,,catalog_only,97,Catalog add-on; not a Phase 1 scored field.,No directory scalar; multi-piece same-batch option only.,Multi-piece same batch option on peptide SKUs.,https://janoshik.com/pricelist/common-glp-1-peptide-blind-test-semaglutide-tirzepatide-and-retatrutide/,True,https://janoshik.com/verification/,EU,,high
janoshik,Janoshik Analytical,True,add_on,False,janoshik_raw_data,raw_data,Raw Data,raw_data,,,catalog_only,97,Catalog paid add-on.,Paid deliverable; not a scored analyte.,Paid add-on for raw instrument data.,https://janoshik.com/pricelist/common-glp-1-peptide-blind-test-semaglutide-tirzepatide-and-retatrutide/,True,https://janoshik.com/verification/,EU,,high
mz_biolabs,MZ Biolabs,True,standard,True,mz_hplc_uv_ms_identity,identity,HPLC-UV + MS,hplc_uv|ms,methods_present|analytes_present|peptide_identity,,catalog_only,0,Zero MZ Biolabs rows in Phase 1 seed pilot.,"No MZ seed rows; when present, null if identity not stated on client PDF.",Portal: HPLC with UV detection combined with mass spectrometry to confirm identity and specifications. Instruments: Waters Acquity UPLC+UV; Bruker Compact QTOF; Thermo LTQ Velos Pro + nanoAcquity.,https://www.mzbiolabs.com/mzbiolabs/coa-testing/|https://www.mzbiolabs.com/mzbiolabs/our-techniques/,False,,US,activity|sterility|endotoxins|heavy_metals|ph,high
mz_biolabs,MZ Biolabs,True,standard,True,mz_hplc_uv_purity,purity,HPLC-UV,hplc_uv,purity_pct|methods_present|analytes_present,,catalog_only,0,Zero MZ seed rows.,Purity not numeric on client PDF; no MZ seed rows yet.,"Purity COAs for raw powders and liquids. Explicitly does NOT include activity, sterility/endotoxins, heavy metals, or pH.",https://www.mzbiolabs.com/mzbiolabs/coa-testing/,False,,US,activity|sterility|endotoxins|heavy_metals|ph,high
mz_biolabs,MZ Biolabs,True,standard,True,mz_hplc_uv_ms_quantity,quantity,HPLC-UV + MS,hplc_uv|ms,strength_mg|analytes_present|methods_present,,catalog_only,0,Zero MZ seed rows.,Quantification not stated on PDF.,"Quantification offered for solutions, tablets, and capsules in addition to powders/liquids purity.",https://www.mzbiolabs.com/mzbiolabs/coa-testing/,False,,US,activity|sterility|endotoxins|heavy_metals|ph,high
mz_biolabs,MZ Biolabs,True,add_on,False,mz_usp85_endotoxin,endotoxin,USP <85>,usp_85|lal,endotoxin|analytes_present|methods_present,USP <85>,catalog_only,0,Zero MZ seed rows; USP label is portal language only.,Not on standard purity COA; only if separate endotoxin report states result.,Coming-soon page: Bacterial Endotoxin (LPS) testing using USP <85> methods; 'now available for injection vials and certain raw materials.' LABEL ONLY — does not claim RUO lots meet USP monographs.,https://mzbiolabs.com/mzbiolabs/coming-soon/,False,,US,activity|sterility|endotoxins|heavy_metals|ph,high
